Category,Instance,Result,Time
../problems/regex-big,regex-big-00022-model.smt25,sat,1.2221941947937012
../problems/regex-big,regex-big-00127-model.smt25,error,0.7219908237457275
../problems/regex-big,regex-big-00064.smt25,error,0.6695458889007568
../problems/regex-big,regex-big-00204.smt25,error,0.6692259311676025
../problems/regex-big,regex-big-00162-model.smt25,error,0.6168601512908936
../problems/regex-big,regex-big-00071-model.smt25,error,0.6194229125976562
../problems/regex-big,regex-big-00092.smt25,error,0.6166510581970215
../problems/regex-big,regex-big-00113-model.smt25,error,0.6693570613861084
../problems/regex-big,regex-big-00127.smt25,error,0.6692149639129639
../problems/regex-big,regex-big-00085-model.smt25,error,0.6169590950012207
../problems/regex-big,regex-big-00092-model.smt25,error,0.6195318698883057
../problems/regex-big,regex-big-00141-model.smt25,error,0.618466854095459
../problems/regex-big,regex-big-00183.smt25,error,0.6168129444122314
../problems/regex-big,regex-big-00050.smt25,error,0.669503927230835
../problems/regex-big,regex-big-00204-model.smt25,error,0.6695239543914795
../problems/regex-big,regex-big-00148-model.smt25,error,0.6695189476013184
../problems/regex-big,regex-big-00169.smt25,error,0.6693198680877686
../problems/regex-big,regex-big-00106.smt25,error,0.6693060398101807
../problems/regex-big,regex-big-00043-model.smt25,error,0.6691980361938477
../problems/regex-big,regex-big-00057-model.smt25,error,0.669348955154419
../problems/regex-big,regex-big-00057.smt25,error,0.669234037399292
../problems/regex-big,regex-big-00085.smt25,error,0.6167230606079102
../problems/regex-big,regex-big-00148.smt25,error,0.6193771362304688
../problems/regex-big,regex-big-00015-model.smt25,sat,1.067500114440918
../problems/regex-big,regex-big-00162.smt25,error,0.6164431571960449
../problems/regex-big,regex-big-00099.smt25,error,0.6167380809783936
../problems/regex-big,regex-big-00022.smt25,sat,1.1679449081420898
../problems/regex-big,regex-big-00001.smt25,sat,0.8173580169677734
../problems/regex-big,regex-big-00134-model.smt25,error,0.6167950630187988
../problems/regex-big,regex-big-00183-model.smt25,error,0.6677660942077637
../problems/regex-big,regex-big-00106-model.smt25,error,0.6709198951721191
../problems/regex-big,regex-big-00176-model.smt25,error,0.6688830852508545
../problems/regex-big,regex-big-00015.smt25,sat,1.1202080249786377
../problems/regex-big,regex-big-00197.smt25,error,0.6669528484344482
../problems/regex-big,regex-big-00064-model.smt25,error,0.6687109470367432
../problems/regex-big,regex-big-00099-model.smt25,error,0.669213056564331
../problems/regex-big,regex-big-00043.smt25,error,0.6694409847259521
../problems/regex-big,regex-big-00008.smt25,sat,1.0199851989746094
../problems/regex-big,regex-big-00078-model.smt25,error,0.6675000190734863
../problems/regex-big,regex-big-00036-model.smt25,sat,1.522387981414795
../problems/regex-big,regex-big-00176.smt25,error,0.7675960063934326
