Category,Instance,Result,Time
../problems/regex-big,regex-big-00022-model.smt25,sat,0.16502594947814941
../problems/regex-big,regex-big-00127-model.smt25,sat,14.0433509349823
../problems/regex-big,regex-big-00064.smt25,sat,0.5161619186401367
../problems/regex-big,regex-big-00204.smt25,sat,5.626096963882446
../problems/regex-big,regex-big-00162-model.smt25,sat,2.8706839084625244
../problems/regex-big,regex-big-00071-model.smt25,sat,0.6153409481048584
../problems/regex-big,regex-big-00092.smt25,sat,1.117408037185669
../problems/regex-big,regex-big-00113-model.smt25,sat,8.13148283958435
../problems/regex-big,regex-big-00127.smt25,sat,13.942497968673706
../problems/regex-big,regex-big-00085-model.smt25,sat,0.8663759231567383
../problems/regex-big,regex-big-00092-model.smt25,sat,1.116776943206787
../problems/regex-big,regex-big-00141-model.smt25,sat,3.2714569568634033
../problems/regex-big,regex-big-00183.smt25,sat,3.2210519313812256
../problems/regex-big,regex-big-00050.smt25,sat,2.4193899631500244
../problems/regex-big,regex-big-00204-model.smt25,sat,5.626044034957886
../problems/regex-big,regex-big-00148-model.smt25,sat,2.2698988914489746
../problems/regex-big,regex-big-00169.smt25,sat,3.972705841064453
../problems/regex-big,regex-big-00106.smt25,sat,2.0192620754241943
../problems/regex-big,regex-big-00043-model.smt25,sat,0.41558098793029785
../problems/regex-big,regex-big-00057-model.smt25,sat,5.375545024871826
../problems/regex-big,regex-big-00057.smt25,sat,5.375646114349365
../problems/regex-big,regex-big-00085.smt25,sat,0.9170129299163818
../problems/regex-big,regex-big-00148.smt25,sat,2.2692651748657227
../problems/regex-big,regex-big-00015-model.smt25,sat,0.11468315124511719
../problems/regex-big,regex-big-00162.smt25,sat,2.8704118728637695
../problems/regex-big,regex-big-00099.smt25,sat,0.9668741226196289
../problems/regex-big,regex-big-00022.smt25,sat,0.16492486000061035
../problems/regex-big,regex-big-00001.smt25,sat,0.06451106071472168
../problems/regex-big,regex-big-00134-model.smt25,sat,10.434783935546875
../problems/regex-big,regex-big-00183-model.smt25,sat,3.2708239555358887
